Rk,Player,Pos,Age,PTS,AST,STL,BLK,Tm,G,GS,MP
216,R.J. Hampton,SG,20,7.6,2.5,0.7,0.2,ORL,64,14,21.9
217,Tim Hardaway Jr.,SG,29,14.2,2.2,0.9,0.1,DAL,42,20,29.6
218,James Harden,PG-SG,32,22,10.3,1.3,0.6,TOT,65,65,37.2
218,James Harden,PG,32,22.5,10.2,1.3,0.7,BRK,44,44,37
218,James Harden,SG,32,21,10.5,1.2,0.2,PHI,21,21,37.7
219,Maurice Harkless,SF,28,4.6,0.5,0.6,0.5,SAC,47,24,18.4
220,Jared Harper,PG,24,7.4,2.8,0.8,0.2,NOP,5,0,8.6
221,Montrezl Harrell,C,28,13.1,2,0.4,0.6,TOT,71,3,23.1
221,Montrezl Harrell,C,28,14.1,2.1,0.4,0.7,WAS,46,3,24.3
221,Montrezl Harrell,C,28,11.4,2,0.4,0.5,CHO,25,0,21
222,Gary Harris,SG,27,11.1,1.8,1,0.1,ORL,61,30,28.4
223,Joe Harris,SF,30,11.3,1,0.5,0.1,BRK,14,14,30.2
224,Tobias Harris,PF,29,17.2,3.5,0.6,0.6,PHI,73,73,34.8
225,Shaquille Harrison,SG,28,2,1.5,0.5,0.5,BRK,2,0,11.5
226,Josh Hart,SG-SF,26,14.9,4.1,1.1,0.2,TOT,54,53,33.2
226,Josh Hart,SG,26,13.4,4.1,1.1,0.3,NOP,41,40,33.5
226,Josh Hart,SF,26,19.9,4.3,1.2,0.2,POR,13,13,32.1
227,Isaiah Hartenstein,C,23,8.3,2.4,0.7,1.1,LAC,68,0,17.9
228,Udonis Haslem,C,41,2.5,0.3,0.1,0.1,MIA,13,0,6.4
229,Sam Hauser,SF,24,2.5,0.4,0,0.1,BOS,26,0,6.1
230,Jaxson Hayes,C,21,9.3,0.6,0.5,0.8,NOP,70,28,20
231,Killian Hayes,PG,20,6.9,4.2,1.2,0.5,DET,66,40,25
232,Gordon Hayward,SF,31,15.9,3.6,1,0.4,CHO,49,48,31.9
233,Aaron Henry,SF,22,0.3,0,0,0.3,PHI,6,0,2.8
234,Juancho Hernangómez,PF,26,3.3,0.5,0.4,0.3,TOT,40,9,11.1
234,Juancho Hernangómez,PF,26,1.1,0.2,0.2,0.1,BOS,18,0,5.3
234,Juancho Hernangómez,PF,26,1.4,0.6,0.2,0.2,SAS,5,0,10.2
234,Juancho Hernangómez,PF,26,6.2,0.8,0.5,0.4,UTA,17,9,17.5
235,Willy Hernangómez,C,27,9.1,1.3,0.4,0.4,NOP,50,8,16.8
236,Tyler Herro,SG,22,20.7,4,0.7,0.1,MIA,66,10,32.6
